,category_link-href,company,rating,sd_rating
2773,https://directory.goodonyou.eco/categories/bags,Banana Republic,Rated : It's a start,50
2774,https://directory.goodonyou.eco/categories/basics,Meemoza,Rated : Good,75
2775,https://directory.goodonyou.eco/categories/bags,Baggu,Rated : Not good enough,25
2776,https://directory.goodonyou.eco/categories/activewear,BlackMilk Clothing,Rated : It's a start,50
2777,https://directory.goodonyou.eco/categories/dresses,Mother of Pearl,Rated : Good,75
2778,https://directory.goodonyou.eco/categories/shoes,Oysho,Rated : It's a start,50
2779,https://directory.goodonyou.eco/categories/tops,Zanni,Rated : It's a start,50
2780,https://directory.goodonyou.eco/categories/accessories,Sans Beast,Rated : It's a start,50
2781,https://directory.goodonyou.eco/categories/tops,The Social Outfit,Rated : Great,100
2782,https://directory.goodonyou.eco/categories/dresses,Tasi Travels,Rated : Good,75
2783,https://directory.goodonyou.eco/categories/outerwear,Collina Strada,Rated : It's a start,50
2784,https://directory.goodonyou.eco/categories/tops,Girlfriend Collective,Rated : Great,100
2785,https://directory.goodonyou.eco/categories/basics,Nordstrom,Rated : Not Good Enough,25
2786,https://directory.goodonyou.eco/categories/dresses,Gramicci,Rated : It's a start,50
2787,https://directory.goodonyou.eco/categories/bottoms,Nudie Jeans,Rated : Good,75
